name,kategori,price,stock,soldout,image,sold
BRAIN BLAST FOR LUCKY BLOCK - 1 BRAINROT RANDOM EMPEREYAN 40 QA+/S(TERGANTUNG REBIRTH) LV MAX,BRAIN BLAST FOR LUCKY BLOCK,10000,10,,BRAINBLAST EMPERAYAEN 40QA+.png,1027
BRAIN BLAST FOR LUCKY BLOCK - 2 BRAINROT RANDOM EMPEREYAN 40 QA+/S(TERGANTUNG REBIRTH) LV MAX,BRAIN BLAST FOR LUCKY BLOCK,15000,10,,BRAINBLAST EMPERAYAEN 40QA+.png,127
MINE PER KLICK - DAPAT 15 BATU 1 B,+ 1 MINE PER KLICK,10000,10,,MINE PER KLICK BATU 1 B.png,50
steal a brainrot-chat admin,steal a brainrot,0,0,YA,WhatsApp Image 2026-04-14 at 08.02.58.png,0
steal a brainrot-1 garam dan madung,steal a brainrot,50000,0,YA,WhatsApp Image 2026-04-17 at 13.13.31.png,0
token tsunami brainrot(300),token,10000,0,YA,token.png,1000
token tsunami brainrot(1000),token,30000,0,YA,token.png,500
token grow a garden(250),token,10000,0,YA,token.png,200
RUSH LUCKY BLOCK - 2 MALAM XEON 1.6T+/S LV MAX TERGANTUNG REBIRTH + BONUS,RUSH LUCKY BLOCK,10000,6,,RUSH LUCKY BLOCK XEON 1.6T.png,3254
RUSH LUCKY BLOCK - 4 MALAM XEON 1.6T+/S LV MAX TERGANTUNG REBIRTH + BONUS,RUSH LUCKY BLOCK,15000,6,,RUSH LUCKY BLOCK XEON 1.6T.png,3543
tendang block keberuntungan -DAPAT 1 brainrot ABYSALL COINATOR lv max 4.8Q/s(ASTRAL) sepuh langka,tendang block keberuntungan,10000,3,,KALB COIATOR ASTRAL 4.8Q.png,700
tendang block keberuntungan -DAPAT 2 brainrot ABYSALL COINATOR lv max 4.8Q/s(ASTRAL) sepuh langka,tendang block keberuntungan,15000,3,,KALB COIATOR ASTRAL 4.8Q.png,800
AYAM ANJAY,AYAM GORENG,50000,0,,https://drive.google.com/thumbnail?id=1OIJahQCxqkZyxHbBt0w2l4GFuTwJSqr7&sz=w1000,0
SEPEDA,AYAM GORENG,10000,6,,https://drive.google.com/thumbnail?id=1qp_myvuwr-arL9jP0HnWJqD17zteqy9P&sz=w1000,800
AYAMMMM,AYAM GORENG,60000,0,,https://drive.google.com/thumbnail?id=1Uq_Boju-JI-GOaYMtBEQRaloxUgOUi9Z&sz=w1000,6546
ANJAYYYYYY,AYAM GORENG,65000,0,,https://drive.google.com/thumbnail?id=1e9WIbWrJXRgiaoWyd2m9CtwGF6qrxe6V&sz=w1000,0
Katalog Kosong 6 - v5,Katalog Kosong 6,70000,0,,,0
Katalog Kosong 6 - v6,Katalog Kosong 6,75000,0,,,0
Katalog Kosong 6 - v7,Katalog Kosong 6,80000,0,,,0
Katalog Kosong 6 - v8,Katalog Kosong 6,85000,0,,,0
Katalog Kosong 6 - v9,Katalog Kosong 6,90000,0,,,0
Katalog Kosong 6 - v10,Katalog Kosong 6,95000,0,,,0
Katalog Kosong 7 - v1,Katalog Kosong 7,50000,0,,,0
Katalog Kosong 7 - v2,Katalog Kosong 7,55000,0,,,0
Katalog Kosong 7 - v3,Katalog Kosong 7,60000,0,,,0
Katalog Kosong 7 - v4,Katalog Kosong 7,65000,0,,,0
Katalog Kosong 7 - v5,Katalog Kosong 7,70000,0,,,0
Katalog Kosong 7 - v6,Katalog Kosong 7,75000,0,,,0
Katalog Kosong 7 - v7,Katalog Kosong 7,80000,0,,,0
Katalog Kosong 7 - v8,Katalog Kosong 7,85000,0,,,0
Katalog Kosong 7 - v9,Katalog Kosong 7,90000,0,,,0
Katalog Kosong 7 - v10,Katalog Kosong 7,95000,0,,,0
FWEFW,,10000,0,,https://drive.google.com/thumbnail?id=11waIcLuxzqUyDcj_gP2qk2wtbYTZDgvI&sz=w1000,0
